Defensive Line,Linebacker,Offensive Line,Quarterback,Running Back,Secondary,Special Teams,Tight End,Wide Receiver,Year,Team,Wins,Active Contracts,Salary Cap,Dead Cap,Injured Reserve
29881039,5413129,14073884,2413939,7656985,17342171,2358844,4611668,8676223,2013,Buffalo Bills,6,93133764,123000000,18337408,3161000
36528232,12137878,16625895,6019386,11353332,19318292,3886667,3272899,6898694,2014,Buffalo Bills,9,116041275,133000000,27015831,2718000
35036175,7197766,13803014,3719538,7427562,13579671,4250000,1105909,5358465,2015,Buffalo Bills,8,93228100,143280000,13643764,30552856
30400124,4518750,14763409,10292562,10285228,20949313,4245000,6894850,9315515,2016,Buffalo Bills,7,112497692,155270000,18773045,17684604
21700927,7070767,21352767,10853208,10411176,13361749,4215000,10982500,2461932,2017,Buffalo Bills,9,104955026,167000000,28929576,20683295
32413909,8101145,11380213,4972932,11440955,16745520,3740294,10112000,3051410,2018,Buffalo Bills,6,104008378,177200000,70343254,5244944
16437994,12335910,13669676,7514454,8446450,9329309,2079670,4880000,10943313,2013,Carolina Panthers,12,87661776,123000000,18607423,3635447
19926809,9286469,13943785,8743113,11080000,6542042,3319670,8930000,3948000,2014,Carolina Panthers,7,89069888,133000000,27093734,3571701
29728025,17642992,17750693,15429000,9847396,8154035,4774670,8146666,8170672,2015,Carolina Panthers,15,123069149,143280000,15374865,6720433
15240699,17863527,5929889,22310000,10841563,6365189,5060290,7957836,5955542,2016,Carolina Panthers,6,98999535,155270000,13186584,27045781
33857368,17045207,21667258,22711299,11316345,12415221,5580000,14816668,4543345,2017,Carolina Panthers,11,144363005,167000000,12130270,8896212
43018046,14481157,24861346,21589117,4924454,12693975,2470882,1362292,12134149,2018,Carolina Panthers,7,138090418,177200000,12588681,33742678
27236083,14352960,10551052,11276471,10174916,18271371,6290000,2560000,17780065,2013,Chicago Bears,8,119272918,123000000,6199751,1250000
8593105,12720370,15582986,19219117,8850845,16000073,3750445,7165647,11993868,2014,Chicago Bears,5,104027338,133000000,18280371,8702501
3108051,21899436,17474343,16680000,10724751,8940540,4289856,1270294,7567588,2015,Chicago Bears,6,91954859,143280000,29022282,17661100
7280518,21550623,15021764,807352,2095516,10276184,1751327,1532047,13156230,2016,Chicago Bears,3,73471561,155270000,12797351,61602308
14433188,10551718,22533146,21184872,2385919,20682552,1641621,7277096,9324040,2017,Chicago Bears,5,110629152,167000000,13239031,43846918
20570010,30592325,25863683,10598278,2743492,20155499,5942500,8810804,25966938,2018,Chicago Bears,12,151948529,177200000,15403260,11716999
35788918,7700422,21288147,2343304,5750703,21952362,5660000,4417841,9183272,2013,Cincinnati Bengals,11,114672294,123000000,8141422,3829000
30632457,13670865,19517375,10928123,3446964,24273260,4480000,7145128,9479716,2014,Cincinnati Bengals,10,123997221,133000000,5142081,1835000
